applicant_name_patstat,company_name_stock,ticker_stock,match_score,match_type,sector_match,parent_match,confidence_mean,confidence_lower,confidence_upper,total_patents
De la Rue International Limited,De La Rue plc,DLAR.L,1.0,exact,False,True,1.0,1.0,1.0,20
SAAB AB,Saab AB (publ),SAAB-B.ST,0.9280701754385966,fuzzy,False,True,0.8937343358395994,0.8807226413178555,0.9067460303613433,19
"ISIS Pharmaceuticals, Inc.","Isis Pharmaceuticals, Inc.",ISIS,1.0,exact,True,True,1.0,1.0,1.0,19
FUJITSU LIMITED,Fujitsu Limited,FJTSY,1.0,exact,False,True,1.0,1.0,1.0,19
"CARGILL, INCORPORATED",Carillion plc,CLLN.L,0.8666666666666668,fuzzy,True,False,0.8666666666666668,0.8666666666666668,0.8666666666666668,19
Bombardier Inc.,Bombardier Inc.,BBD-A.TO,1.0,exact,False,True,1.0,1.0,1.0,19
Celgene Corporation,Celgene Corporation,CELG,1.0,exact,False,True,1.0,1.0,1.0,19
MALLINCKRODT LLC,"MALLINCKRODT PLC DL -,20",MCD.BE,0.9766666666666667,fuzzy,False,True,0.9665930956423316,0.8385962397801408,1.0,19
Technip France,Technip SA,THP.DE,0.9766666666666667,fuzzy,True,True,0.9766666666666668,0.9766666666666667,0.9766666666666669,19
"AGIOS PHARMACEUTICALS, INC.","Agios Pharmaceuticals, Inc.",AGIO,1.0,exact,False,True,1.0,1.0,1.0,18
FLUOR TECHNOLOGIES CORPORATION,Fluor Corporation,FLR,1.0,exact,False,True,1.0,1.0,1.0,18
"SEATTLE GENETICS, INC.","Seattle Genetics, Inc.",SGEN,1.0,exact,False,True,1.0,1.0,1.0,18
"NGK Spark Plug Co., Ltd.","NGK Spark Plug Co., Ltd.",NGK.F,1.0,exact,False,True,1.0,1.0,1.0,18
"Taiho Pharmaceutical Co., Ltd.",TAHO Pharmaceuticals Ltd.,6467.TWO,0.9018666666666667,fuzzy,False,False,0.9018666666666667,0.9018666666666667,0.9018666666666667,18
PIRAMAL ENTERPRISES LIMITED,Piramal Enterprises Limited,PEL.NS,1.0,exact,False,True,1.0,1.0,1.0,18
Teijin Limited,TEIJIN LTD,TIJ.BE,1.0,exact,False,True,1.0,1.0,1.0,18
Total SA,Totally plc,TLY.L,1.0,exact,False,True,1.0,1.0,1.0,18
MORPHO,Morphosys AG,MOR.DE,0.9766666666666667,fuzzy,False,True,0.9766666666666667,0.9766666666666667,0.9766666666666667,18
"ZAFGEN, INC.","Zafgen, Inc.",ZFGN,1.0,exact,False,True,1.0,1.0,1.0,18
Herakles,Heracles SA,ALHER.PA,0.905,fuzzy,False,False,0.905,0.905,0.905,18
Nortel Networks Limited,"Northport Network Systems, Inc.",NNWS,0.8698823529411764,fuzzy,True,False,0.8698823529411764,0.8698823529411764,0.8698823529411764,18
ABB TECHNOLOGY LTD,ABB Ltd,ABB,1.0,exact,False,True,0.9975213675213676,0.9921208912769027,1.0,18
PFIZER LIMITED,Pfizer Inc.,PFE,1.0,exact,False,True,1.0,1.0,1.0,18
"EPIZYME, INC.","Epizyme, Inc.",EPZM,1.0,exact,False,True,1.0,1.0,1.0,18
RECKITT BENCKISER LLC,Reckitt Benckiser Group plc,RBGLY,1.0,exact,False,True,0.9994541910331384,0.998195553298524,1.0,18
Nitto Denko Corporation,Nitto Denko Corporation,NDEKY,1.0,exact,False,True,1.0,1.0,1.0,17
"Mars, Incorporated",Mears Group plc,MER.L,0.8915555555555555,fuzzy,False,False,0.8915555555555555,0.8915555555555555,0.8915555555555555,17
SMA SOLAR TECHNOLOGY AG,SMA Solar Technology AG,S92.DE,1.0,exact,False,True,1.0,1.0,1.0,17
EVOGENE LTD.,Evogene Ltd.,EVGN,1.0,exact,False,True,1.0,1.0,1.0,17
BAYER CROPSCIENCE NV,BAYER CROPSCIENCE LTD.,BAYERCROP.BO,1.0,exact,False,True,1.0,1.0,1.0,17
"Mitsui Chemicals, Inc.","Mitsui Chemicals, Inc.",MSI.F,1.0,exact,True,True,0.9841979949874686,0.9659782505357615,1.0,17
"Hitachi Chemical Company, Ltd.","Hitachi Chemical Company, Ltd.",HCHMY,1.0,exact,True,True,1.0,1.0,1.0,17
XYLEM IP HOLDINGS LLC,Xylem Inc.,XYL,0.9526923076923078,fuzzy,False,True,0.9526923076923078,0.9526923076923078,0.9526923076923078,17
"Sekisui Chemical Co., Ltd.",SEKISUI CHEM.,SUI.BE,1.0,exact,False,True,1.0,1.0,1.0,17
"Santen Pharmaceutical Co., Ltd.","Santen Pharmaceutical Co., Ltd.",SNPHY,1.0,exact,True,True,1.0,1.0,1.0,17
"Nisshin Steel Co., Ltd.","Nisshin Steel Co., Ltd.",4NI.F,1.0,exact,True,True,1.0,1.0,1.0,16
Monsanto Technology LLC,Monsanto Company,MON,1.0,exact,False,True,0.9953333333333333,0.9823765895090769,1.0,16
"SK Chemicals Co., Ltd.","SK Chemicals Co., Ltd.",006125.KS,1.0,exact,True,True,1.0,1.0,1.0,16
ASTEX THERAPEUTICS LIMITED,Antibe Therapeutics Inc.,ATBPF,0.9715599810336654,fuzzy,True,False,0.9618581761770617,0.947463827212817,0.9762525251413064,16
CORNING CABLE SYSTEMS LLC,Corning Incorporated,GLW,0.9007692307692309,fuzzy,False,True,0.9007692307692309,0.9007692307692309,0.9007692307692309,16
Georgia Tech Research Corporation,Georgia Power Co.,GAPWP,0.9007692307692309,fuzzy,False,True,0.9007692307692309,0.9007692307692309,0.9007692307692309,16
Qinetiq Limited,QinetiQ Group plc,QQ.L,1.0,exact,False,True,1.0,1.0,1.0,16
Huntsman International LLC,Huntsman Corporation,HUN,1.0,exact,False,True,1.0,1.0,1.0,16
Kureha Corporation,KUREHA CORP,KUREF,1.0,exact,False,True,0.9883333333333333,0.966897160637897,1.0,16
"GOLFZON CO., LTD.",GOLFZON,215000.KQ,1.0,exact,False,True,1.0,1.0,1.0,16
Cadila Healthcare Limited,Cadila Healthcare Limited,CADILAHC.NS,1.0,exact,True,True,1.0,1.0,1.0,16
ABBVIE INC.,AbbVie Inc.,ABBV,1.0,exact,False,True,1.0,1.0,1.0,16
"General Mills, Inc.","General Mills, Inc.",GIS,1.0,exact,False,True,1.0,1.0,1.0,16
CHINA PETROLEUM & CHEMICAL CORPORATION,China Petroleum & Chemical Corporation,SNP,1.0,exact,True,True,1.0,1.0,1.0,16
"ARDEA BIOSCIENCES, INC.","Arcadia Biosciences, Inc.",RKDA,0.8675266597867217,fuzzy,False,False,0.8675266597867217,0.8675266597867217,0.8675266597867217,16
ABB Oy,ABB Ltd,ABB,0.8700000000000001,fuzzy,False,True,0.87,0.8699999999999999,0.8700000000000001,16
BLUE SOLUTIONS,BLUE SOLUTIONS,18B.BE,1.0,exact,False,True,1.0,1.0,1.0,15
Statoil ASA,Statoil ASA,STO,1.0,exact,True,True,1.0,1.0,1.0,15
Stora Enso OYJ,Stora Enso Oyj,SEOAY,1.0,exact,False,True,1.0,1.0,1.0,15
